,song_name,Genre,song_popularity,song_duration_ms,acousticness,danceability,energy,key,liveness,loudness,spechiness,tempoaudio_valence,danceable_valence
0,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",Reggae,98,212500,0.153,0.841,0.7979999999999999,1,0.0618,-4.206,,,1.432
1,I Like It,Hip Hop,95,253390,0.099,0.816,0.726,5,0.372,-3.998,,,1.466
2,BEBE,Pop,95,217822,0.172,0.635,0.902,0,0.125,-3.559,,,0.921
3,Beautiful (feat. Camila Cabello),Pop,94,180000,0.346,0.638,0.7170000000000001,2,0.105,-4.722,,,0.887
4,MIA (feat. Drake),Hip Hop,94,210367,0.0143,0.818,0.54,6,0.099,-6.35,,,0.992
5,Wake Up in the Sky,Pop,92,204664,0.00381,0.8,0.578,4,0.359,-5.144,,,1.167
6,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Hip Hop,88,201526,0.165,0.792,0.895,1,0.0501,-3.112,,,1.586
7,Celoso,Reggae,87,179693,0.352,0.746,0.703,4,0.331,-4.178999999999999,,,1.413
8,Real Friends,Reggae,85,223583,0.235,0.701,0.512,0,0.135,-6.869,,,1.3639999999999999
9,All of Me,R&B,85,269560,0.922,0.422,0.264,8,0.132,-7.064,,,0.753
10,Hips Don't Lie,Pop,84,218093,0.284,0.778,0.8240000000000001,10,0.405,-5.892,,,1.5339999999999998
11,Finesse (Remix) [feat. Cardi B],Pop,84,217288,0.0185,0.7040000000000001,0.8590000000000001,5,0.0215,-4.877,,,1.6300000000000001
12,Pumped Up Kicks,Pop,84,239600,0.145,0.733,0.71,5,0.0956,-5.849,,,1.698
13,Hotel California - Remastered,Rock,83,391376,0.0057399999999999,0.579,0.508,2,0.0575,-9.484,,,1.188
14,Está Rico,Pop,83,215151,0.266,0.8170000000000001,0.74,11,0.0992,-4.566,,,1.491
15,Highway to Hell,Rock,83,208400,0.0591,0.573,0.913,6,0.156,-4.793,,,0.9949999999999999
16,How to Save a Life,Pop,83,262533,0.2689999999999999,0.64,0.743,10,0.1009999999999999,-4.08,,,1.001
17,Can't Stop,Rock,81,269000,0.0179,0.618,0.938,9,0.1669999999999999,-3.442,,,1.4929999999999999
18,If I Ain't Got You,R&B,81,228706,0.603,0.609,0.445,7,0.104,-9.129,,,0.775
19,Fortunate Son,Rock,81,140773,0.201,0.64,0.6629999999999999,0,0.152,-7.516,,,1.303
20,Sex on Fire,Rock,81,203346,0.00172,0.542,0.905,9,0.136,-5.653,,,0.916
21,Last Resort,Metal,81,199893,0.000504,0.581,0.887,4,0.268,-3.659,,,1.3050000000000002
22,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Rock,80,281613,0.386,0.602,0.522,10,0.0941,-9.031,,,0.962
23,Brown Eyed Girl,Rock,80,183306,0.182,0.491,0.583,7,0.407,-10.964,,,1.3980000000000001
24,Let Me Love You,R&B,80,256733,0.235,0.6559999999999999,0.578,7,0.118,-8.97,,,1.212
25,Querida,Latin Pop,4,319560,0.318,0.522,0.526,2,0.1159999999999999,-6.361000000000001,,,0.952
26,I Know You Want Me (Calle Ocho),Son cubano,7,238680,0.0151,0.815,0.757,2,0.187,-5.351,,,1.626
27,Besame Mucho,Bolero,7,181960,0.701,0.7070000000000001,0.408,5,0.105,-12.776,,,1.55
28,Chan Chan,Hip Hop,7,257213,0.83,0.507,0.423,2,0.0973,-14.187,,,1.208
29,Psychotic Reaction - Rarities Version,Rock,8,189848,0.000288,0.355,0.7609999999999999,11,0.1889999999999999,-6.309,,,1.04
30,Beautiful Girls,R&B,10,241933,0.159,0.745,0.6659999999999999,9,0.302,-5.899,,,1.4529999999999998
31,The Pretender,Rock,11,269373,0.000917,0.433,0.959,9,0.0279999999999999,-4.04,,,0.798
32,All My Life,Rock,11,262733,0.000194,0.5820000000000001,0.597,5,0.517,-5.671,,,1.2560000000000002
33,El Matador,Rock,11,277600,0.0306,0.5660000000000001,0.911,4,0.0574,-9.458,,,1.2040000000000002
34,Hit the Road Jack,Rock,13,120173,0.7140000000000001,0.599,0.7040000000000001,8,0.521,-8.566,,,1.549
35,No One Knows,Rock,13,255066,0.0137,0.518,0.5379999999999999,0,0.141,-5.818,,,1.205
36,Wildflowers - Remastered,Rock,13,216573,0.762,0.609,0.368,10,0.335,-13.338,,,1.2269999999999999
37,I'm A Man,Rock,14,176160,0.038,0.55,0.929,9,0.135,-5.765,,,1.193
38,I'm Waiting For The Man - Album Version (Stereo),Rock,16,279520,0.025,0.682,0.621,7,0.153,-9.653,,,1.5430000000000001
39,Solsbury Hill,Rock,21,262600,0.3779999999999999,0.6779999999999999,0.622,11,0.363,-8.875,,,1.149
40,Jumpin' Jack Flash - Mono / Remastered,Salsa,21,219466,0.047,0.6,0.897,3,0.0672,-7.275,,,1.2759999999999998
41,La Vida Es Un Carnaval,Rock,24,275253,0.439,0.82,0.7170000000000001,8,0.236,-6.191,,,1.6629999999999998
42,Blurry,Pop,28,303920,0.0102,0.44,0.932,3,0.142,-4.488,,,0.935
43,La Camisa Negra,R&B,29,216706,0.0838,0.7509999999999999,0.731,6,0.0556,-4.419,,,1.7239999999999998
44,Proud Mary,Rock,30,187213,0.13,0.6990000000000001,0.6409999999999999,2,0.0601,-7.564,,,1.427
45,96 Tears,Pop,30,177426,0.0586,0.68,0.507,7,0.0754,-5.928999999999999,,,1.5340000000000003
46,Caught Up,R&B,31,224946,0.0251,0.815,0.8079999999999999,6,0.12,-4.614,,,1.561
47,See Emily Play - 2016 Remastered Version,Rock,33,174573,0.211,0.4379999999999999,0.754,2,0.124,-7.035,,,0.8729999999999999
48,Maggie May,Rock,34,350266,0.5589999999999999,0.605,0.574,2,0.0684,-10.536,,,1.148
49,Summertime Blues,Country,37,226906,0.462,0.456,0.514,7,0.268,-9.733,,,1.113
50,Dinero - English Version,R&B,37,161093,0.00436,0.701,0.779,11,0.121,-4.657,,,1.152
51,Island,Pop,37,194011,0.118,0.743,0.7929999999999999,2,0.2269999999999999,-5.032,,,1.177
52,Hush - 2014 Remastered Version,Rock,38,252040,0.0176,0.585,0.6759999999999999,5,0.129,-11.267,,,1.059
53,All Day and All of the Night - 2014 Remastered Version,Rock,38,142480,0.498,0.551,0.954,7,0.0884,-2.844,,,1.2360000000000002
54,Como,Hip Hop,38,234373,0.00323,0.5429999999999999,0.847,9,0.0551,-3.574,,,1.193
